episode: 0/1000000, reward: 2.0, epsilon: 1.0, max reward: 2.0, mean past 100 rewards: 2.0
episode: 100/1000000, reward: 1.0, epsilon: 0.99, max reward: 4.0, mean past 100 rewards: 0.56
episode: 200/1000000, reward: 1.0, epsilon: 0.98, max reward: 4.0, mean past 100 rewards: 0.79
episode: 300/1000000, reward: 1.0, epsilon: 0.97, max reward: 5.0, mean past 100 rewards: 0.81
episode: 400/1000000, reward: 2.0, epsilon: 0.96, max reward: 5.0, mean past 100 rewards: 0.55
episode: 500/1000000, reward: 1.0, epsilon: 0.95, max reward: 7.0, mean past 100 rewards: 0.96
episode: 600/1000000, reward: 2.0, epsilon: 0.94, max reward: 7.0, mean past 100 rewards: 0.38
episode: 700/1000000, reward: 1.0, epsilon: 0.93, max reward: 7.0, mean past 100 rewards: 0.84
episode: 800/1000000, reward: 1.0, epsilon: 0.92, max reward: 7.0, mean past 100 rewards: 0.52
episode: 900/1000000, reward: 0.0, epsilon: 0.91, max reward: 7.0, mean past 100 rewards: 0.81
episode: 1000/1000000, reward: 1.0, epsilon: 0.9, max reward: 7.0, mean past 100 rewards: 0.8
episode: 1100/1000000, reward: 1.0, epsilon: 0.9, max reward: 7.0, mean past 100 rewards: 0.57
episode: 1200/1000000, reward: 0.0, epsilon: 0.89, max reward: 7.0, mean past 100 rewards: 1.07
episode: 1300/1000000, reward: 0.0, epsilon: 0.88, max reward: 7.0, mean past 100 rewards: 0.71
episode: 1400/1000000, reward: 0.0, epsilon: 0.87, max reward: 7.0, mean past 100 rewards: 0.61
episode: 1500/1000000, reward: 0.0, epsilon: 0.86, max reward: 7.0, mean past 100 rewards: 0.91
episode: 1600/1000000, reward: 0.0, epsilon: 0.85, max reward: 7.0, mean past 100 rewards: 0.75
episode: 1700/1000000, reward: 0.0, epsilon: 0.84, max reward: 7.0, mean past 100 rewards: 0.77
episode: 1800/1000000, reward: 1.0, epsilon: 0.84, max reward: 7.0, mean past 100 rewards: 1.09
episode: 1900/1000000, reward: 0.0, epsilon: 0.83, max reward: 7.0, mean past 100 rewards: 1.1
episode: 2000/1000000, reward: 4.0, epsilon: 0.82, max reward: 7.0, mean past 100 rewards: 1.2
episode: 2100/1000000, reward: 0.0, epsilon: 0.81, max reward: 7.0, mean past 100 rewards: 1.03
episode: 2200/1000000, reward: 0.0, epsilon: 0.8, max reward: 7.0, mean past 100 rewards: 0.85
episode: 2300/1000000, reward: 0.0, epsilon: 0.79, max reward: 7.0, mean past 100 rewards: 0.7
episode: 2400/1000000, reward: 0.0, epsilon: 0.79, max reward: 7.0, mean past 100 rewards: 1.31
episode: 2500/1000000, reward: 0.0, epsilon: 0.78, max reward: 7.0, mean past 100 rewards: 1.24
episode: 2600/1000000, reward: 0.0, epsilon: 0.77, max reward: 7.0, mean past 100 rewards: 0.56
episode: 2700/1000000, reward: 0.0, epsilon: 0.76, max reward: 7.0, mean past 100 rewards: 0.57
episode: 2800/1000000, reward: 0.0, epsilon: 0.76, max reward: 7.0, mean past 100 rewards: 0.98
episode: 2900/1000000, reward: 0.0, epsilon: 0.75, max reward: 7.0, mean past 100 rewards: 0.99
episode: 3000/1000000, reward: 0.0, epsilon: 0.74, max reward: 7.0, mean past 100 rewards: 0.77
episode: 3100/1000000, reward: 0.0, epsilon: 0.73, max reward: 7.0, mean past 100 rewards: 0.53
episode: 3200/1000000, reward: 0.0, epsilon: 0.73, max reward: 7.0, mean past 100 rewards: 1.12
episode: 3300/1000000, reward: 0.0, epsilon: 0.72, max reward: 7.0, mean past 100 rewards: 1.39
episode: 3400/1000000, reward: 0.0, epsilon: 0.71, max reward: 9.0, mean past 100 rewards: 0.85
episode: 3500/1000000, reward: 0.0, epsilon: 0.7, max reward: 9.0, mean past 100 rewards: 0.82
episode: 3600/1000000, reward: 0.0, epsilon: 0.7, max reward: 9.0, mean past 100 rewards: 1.17
episode: 3700/1000000, reward: 2.0, epsilon: 0.69, max reward: 9.0, mean past 100 rewards: 1.02
episode: 3800/1000000, reward: 0.0, epsilon: 0.68, max reward: 9.0, mean past 100 rewards: 0.69
episode: 3900/1000000, reward: 0.0, epsilon: 0.68, max reward: 9.0, mean past 100 rewards: 0.62
episode: 4000/1000000, reward: 0.0, epsilon: 0.67, max reward: 9.0, mean past 100 rewards: 0.44
episode: 4100/1000000, reward: 0.0, epsilon: 0.66, max reward: 9.0, mean past 100 rewards: 0.42
episode: 4200/1000000, reward: 0.0, epsilon: 0.66, max reward: 9.0, mean past 100 rewards: 0.72
episode: 4300/1000000, reward: 2.0, epsilon: 0.65, max reward: 9.0, mean past 100 rewards: 1.04
episode: 4400/1000000, reward: 1.0, epsilon: 0.64, max reward: 9.0, mean past 100 rewards: 1.01
episode: 4500/1000000, reward: 0.0, epsilon: 0.64, max reward: 9.0, mean past 100 rewards: 0.27
episode: 4600/1000000, reward: 0.0, epsilon: 0.63, max reward: 9.0, mean past 100 rewards: 0.74
episode: 4700/1000000, reward: 0.0, epsilon: 0.62, max reward: 9.0, mean past 100 rewards: 0.94
episode: 4800/1000000, reward: 0.0, epsilon: 0.62, max reward: 9.0, mean past 100 rewards: 1.01
episode: 4900/1000000, reward: 1.0, epsilon: 0.61, max reward: 9.0, mean past 100 rewards: 1.49
episode: 5000/1000000, reward: 1.0, epsilon: 0.61, max reward: 9.0, mean past 100 rewards: 0.97
episode: 5100/1000000, reward: 0.0, epsilon: 0.6, max reward: 9.0, mean past 100 rewards: 0.83
episode: 5200/1000000, reward: 2.0, epsilon: 0.59, max reward: 9.0, mean past 100 rewards: 1.11
episode: 5300/1000000, reward: 0.0, epsilon: 0.59, max reward: 9.0, mean past 100 rewards: 0.72
episode: 5400/1000000, reward: 2.0, epsilon: 0.58, max reward: 9.0, mean past 100 rewards: 0.63
episode: 5500/1000000, reward: 0.0, epsilon: 0.58, max reward: 9.0, mean past 100 rewards: 0.91
episode: 5600/1000000, reward: 0.0, epsilon: 0.57, max reward: 9.0, mean past 100 rewards: 0.67
episode: 5700/1000000, reward: 0.0, epsilon: 0.57, max reward: 9.0, mean past 100 rewards: 1.07
episode: 5800/1000000, reward: 0.0, epsilon: 0.56, max reward: 9.0, mean past 100 rewards: 0.85
episode: 5900/1000000, reward: 0.0, epsilon: 0.55, max reward: 9.0, mean past 100 rewards: 0.68
episode: 6000/1000000, reward: 0.0, epsilon: 0.55, max reward: 9.0, mean past 100 rewards: 1.05
episode: 6100/1000000, reward: 2.0, epsilon: 0.54, max reward: 10.0, mean past 100 rewards: 1.72
episode: 6200/1000000, reward: 0.0, epsilon: 0.54, max reward: 10.0, mean past 100 rewards: 1.19
episode: 6300/1000000, reward: 0.0, epsilon: 0.53, max reward: 10.0, mean past 100 rewards: 0.9
episode: 6400/1000000, reward: 2.0, epsilon: 0.53, max reward: 10.0, mean past 100 rewards: 0.74
episode: 6500/1000000, reward: 0.0, epsilon: 0.52, max reward: 10.0, mean past 100 rewards: 1.2
episode: 6600/1000000, reward: 0.0, epsilon: 0.52, max reward: 10.0, mean past 100 rewards: 1.0
episode: 6700/1000000, reward: 0.0, epsilon: 0.51, max reward: 10.0, mean past 100 rewards: 1.39
episode: 6800/1000000, reward: 0.0, epsilon: 0.51, max reward: 10.0, mean past 100 rewards: 1.33
episode: 6900/1000000, reward: 1.0, epsilon: 0.5, max reward: 10.0, mean past 100 rewards: 0.7
episode: 7000/1000000, reward: 2.0, epsilon: 0.5, max reward: 10.0, mean past 100 rewards: 0.96
episode: 7100/1000000, reward: 0.0, epsilon: 0.49, max reward: 10.0, mean past 100 rewards: 0.68
episode: 7200/1000000, reward: 0.0, epsilon: 0.49, max reward: 10.0, mean past 100 rewards: 0.51
episode: 7300/1000000, reward: 0.0, epsilon: 0.48, max reward: 10.0, mean past 100 rewards: 0.6
